Restaurant,Review,Sentiment,Processed_Tokens,Processed_Text,SWN_Positive,SWN_Negative,SWN_Objective
Shanghai Chef 2,Shanghai Chef has always been the place to go for Chinese fast food. They have a good choice of menu and the food is great. I highly recommend having the crab fried rice and the diced chicken in oriental sauce. America’s chopsuey is equally tasty.,1,"['shanghai', 'chef', 'always', 'place', 'go', 'chinese', 'fast', 'food', 'good', 'choice', 'menu', 'food', 'great', 'highly', 'recommend', 'crab', 'fry', 'rice', 'dice', 'chicken', 'oriental', 'sauce', 'america', 'chopsuey', 'equally', 'tasty']",shanghai chef always place go chinese fast food good choice menu food great highly recommend crab fry rice dice chicken oriental sauce america chopsuey equally tasty,0.027809126180836707,0.030150267495662235,0.9420406063235011
Delhi-39,no order was delivered...your person fooling you....he told me to cancel order...looks some fraud ...pl check or I will report to CEO..,0,"['no', 'order', 'deliveredyour', 'person', 'fool', 'youhe', 'tell', 'cancel', 'orderlooks', 'fraud', 'pl', 'check', 'report', 'ceo']",no order deliveredyour person fool youhe tell cancel orderlooks fraud pl check report ceo,0.03441270739064857,0.02092288838612368,0.9446644042232277
Khaan Saab,"One of those times, when you actually regret for not able give ratings less than zero.Pathetic service,foods way costlier than its quality, over hyped description for the decor, I can go on and on..

and jesus!! there are some basic differences between pinapple/apple juice and pudina juice, texture and smell, u gotta understand that, before demanding that you are one of the best in your genre.",0,"['one', 'time', 'actually', 'regret', 'not', 'able', 'give', 'rating', 'less', 'zeropathetic', 'servicefoods', 'way', 'costly', 'quality', 'hype', 'description', 'decor', 'go', 'jesus', 'basic', 'difference', 'pinappleapple', 'juice', 'pudina', 'juice', 'texture', 'smell', 'u', 'get', 'ta', 'understand', 'demand', 'one', 'best', 'genre']",one time actually regret not able give rating less zeropathetic servicefoods way costly quality hype description decor go jesus basic difference pinappleapple juice pudina juice texture smell u get ta understand demand one best genre,0.04757135225885227,0.05655715811965812,0.8958714896214894
Zega - Sheraton Hyderabad Hotel,"Went to this place for lunch. Opted for a Set Menu with the on going Dim Sun Festival. Soup was good. Dim sums were awesome and they served a wide variety of Bao, Gyoza, Dim Sum, Wonton. Main Couse was ok with Rice and Noodles. Desert was Fried Banana in Caramel Sauce with ice cream. Desert was good as well.

Ambience - 4/5
Food - 4.5/5
Service - 4.5/5",1,"['go', 'place', 'lunch', 'opt', 'set', 'menu', 'go', 'dim', 'sun', 'festival', 'soup', 'good', 'dim', 'sum', 'awesome', 'serve', 'wide', 'variety', 'bao', 'gyoza', 'dim', 'sum', 'wonton', 'main', 'couse', 'ok', 'rice', 'noodle', 'desert', 'fry', 'banana', 'caramel', 'sauce', 'ice', 'cream', 'desert', 'good', 'well', 'ambience', 'food', 'service']",go place lunch opt set menu go dim sun festival soup good dim sum awesome serve wide variety bao gyoza dim sum wonton main couse ok rice noodle desert fry banana caramel sauce ice cream desert good well ambience food service,0.026149479166666666,0.026044030448717947,0.9478064903846155
Squeeze @ The Lime,"Food & presentation is superbbbbbb... We gave catering contract to lime (Mr Dinesh) for my son's bday party. Each and every guest was delighted with the exotic food and presentation... Mr Dinesh was personally present at the party and was taking care of entire catering... Food was ready on time... And each food item was unique in itself... Especially the yum banana tikki, kiwi punch, chocolate gulab jamun, manchow soup, noodles.. And list goes on.. Not to miss that the staff was courageous... My sincere regards & thanks to the entire team for making my son's bday party a super duper successful event!",1,"['food', 'presentation', 'superbbbbbb', 'give', 'cater', 'contract', 'lime', 'mr', 'dinesh', 'son', 'bday', 'party', 'every', 'guest', 'delight', 'exotic', 'food', 'presentation', 'mr', 'dinesh', 'personally', 'present', 'party', 'take', 'care', 'entire', 'catering', 'food', 'ready', 'time', 'food', 'item', 'unique', 'especially', 'yum', 'banana', 'tikki', 'kiwi', 'punch', 'chocolate', 'gulab', 'jamun', 'manchow', 'soup', 'noodle', 'list', 'go', 'not', 'miss', 'staff', 'courageous', 'sincere', 'regard', 'thanks', 'entire', 'team', 'making', 'son', 'bday', 'party', 'super', 'duper', 'successful', 'event']",food presentation superbbbbbb give cater contract lime mr dinesh son bday party every guest delight exotic food presentation mr dinesh personally present party take care entire catering food ready time food item unique especially yum banana tikki kiwi punch chocolate gulab jamun manchow soup noodle list go not miss staff courageous sincere regard thanks entire team making son bday party super duper successful event,0.024866893934690545,0.027179593341820945,0.9479535127234885
Olive Garden,Value for cash. The non veg itema are very good. The amibence is decent. Chicken is also very good. Affordable and very good ...............,1,"['value', 'cash', 'non', 'veg', 'itema', 'good', 'amibence', 'decent', 'chicken', 'also', 'good', 'affordable', 'good']",value cash non veg itema good amibence decent chicken also good affordable good,0.06719322344322344,0.03537087912087912,0.8974358974358975
Karachi Cafe,a,1,[],,0.0,0.0,0.0
Royal Spicy Restaurant,k,1,['k'],k,0.0,0.0,1.0
Shree Santosh Dhaba Family Restaurant,naan is not gud....,0,"['naan', 'not', 'gud']",naan not gud,0.007211538461538462,0.16105769230769232,0.8317307692307692
KFC,"Can’t review it as the order and the delivery are not matching.!
Disappointed !!",0,"['cant', 'review', 'order', 'delivery', 'not', 'match', 'disappoint']",cant review order delivery not match disappoint,0.01472832722832723,0.11332417582417582,0.871947496947497
Collage - Hyatt Hyderabad Gachibowli,Awesome hotel.. service is state of the art.. really enjoyed my stay here.. I was personally received by Chef Amit patra a wound full chef who made our stay worthwhile.,1,"['awesome', 'hotel', 'service', 'state', 'art', 'really', 'enjoy', 'stay', 'personally', 'receive', 'chef', 'amit', 'patra', 'wound', 'full', 'chef', 'make', 'stay', 'worthwhile']",awesome hotel service state art really enjoy stay personally receive chef amit patra wound full chef make stay worthwhile,0.056679258241758235,0.015723524986917845,0.9275972167713239
Jonathan's Kitchen - Holiday Inn Express & Suites,"Worst dining experience I ever had till now.

service staff was extremely rude, so slow that we had to cancel a few items after waiting for 45+ minutes and asking multiple times for it.",0,"['worst', 'din', 'experience', 'ever', 'till', 'service', 'staff', 'extremely', 'rude', 'slow', 'cancel', 'item', 'wait', 'minute', 'ask', 'multiple', 'time']",worst din experience ever till service staff extremely rude slow cancel item wait minute ask multiple time,0.030796944283786386,0.06506398207056101,0.9041390736456526
Dine O China,I ordered veg soft noodles and garlic burnt fried rice and both are undercooked. Disappointed.,0,"['order', 'veg', 'soft', 'noodle', 'garlic', 'burnt', 'fry', 'rice', 'undercooked', 'disappointed']",order veg soft noodle garlic burnt fry rice undercooked disappointed,0.005341880341880342,0.06316773504273504,0.9314903846153846
Pakwaan Grand,"Noodles packet was having too much oil, it poured around 50-100ml oil.. too bad
Fried rice was taste less",0,"['noodle', 'packet', 'much', 'oil', 'pour', 'around', 'ml', 'oil', 'bad', 'fry', 'rice', 'taste', 'less']",noodle packet much oil pour around ml oil bad fry rice taste less,0.03068136317124171,0.034021814892260235,0.935296821936498
Dine O China,The quantity given was less than a plate. It was not worth the price at all.,0,"['quantity', 'give', 'less', 'plate', 'not', 'worth', 'price']",quantity give less plate not worth price,0.03361846486846487,0.10528117715617716,0.8611003579753579
Beyond Flavours,"I came first time in this restaurant.
The entrance, the music, lighting, seating arrangement, decorations everything is just awsome. The food and the best service enhance the flavour of the restaurant.",1,"['come', 'first', 'time', 'restaurant', 'entrance', 'music', 'light', 'seat', 'arrangement', 'decoration', 'everything', 'awsome', 'food', 'best', 'service', 'enhance', 'flavour', 'restaurant']",come first time restaurant entrance music light seat arrangement decoration everything awsome food best service enhance flavour restaurant,0.024669847696163486,0.005711393869288606,0.969618758434548
La La Land - Bar & Kitchen,"This used to be a good place, the service level now is pathetic. They won’t even offer you the menu unless you ask for it, if a dish is served in a bad state it will take ages for you to give the feedback and by the time it is changed your meal would be over and the check ofcourse will take atleast 15 mins to get to you...so plan wisely at Lol Lol land",0,"['use', 'good', 'place', 'service', 'level', 'pathetic', 'wont', 'even', 'offer', 'menu', 'unless', 'ask', 'dish', 'serve', 'bad', 'state', 'take', 'age', 'give', 'feedback', 'time', 'change', 'meal', 'would', 'check', 'ofcourse', 'take', 'atleast', 'min', 'get', 'youso', 'plan', 'wisely', 'lol', 'lol', 'land']",use good place service level pathetic wont even offer menu unless ask dish serve bad state take age give feedback time change meal would check ofcourse take atleast min get youso plan wisely lol lol land,0.04134375684856454,0.01510775993949071,0.9435484832119448
Eat India Company,Late review. Ambiance is good(theme : ancient India with various stuffs). I forget the name of the dishes and mocktails (most probably 1 chicken and 1 mutton dishes (main course)). Main course was good. I preferred chicken dish.,1,"['late', 'review', 'ambiance', 'goodtheme', 'ancient', 'india', 'various', 'stuff', 'forget', 'name', 'dish', 'mocktails', 'probably', 'chicken', 'mutton', 'dish', 'main', 'course', 'main', 'course', 'good', 'preferred', 'chicken', 'dish']",late review ambiance goodtheme ancient india various stuff forget name dish mocktails probably chicken mutton dish main course main course good preferred chicken dish,0.029292037327751614,0.02195621838478981,0.9487517442874586
Shah Ghouse Spl Shawarma,I bought food from them twice. Rumali shawarma and kubbus shawarma. Both were good and tasty. I liked the Libby shawarma more and the Rumali was also good but Libby better. The Rumali was fat shawarma (means the shawarma was mota) the only concern I had was there was a lot of coriander leaves. I should have given instructions. The taste of those leaves were kind of predominant at times. Except that great and the mayo and sauce addition was great and got 2 packets of ketchup as well. Totally; I am happy with the shawarma and cost effective as well.,1,"['buy', 'food', 'twice', 'rumali', 'shawarma', 'kubbus', 'shawarma', 'good', 'tasty', 'like', 'libby', 'shawarma', 'rumali', 'also', 'good', 'libby', 'well', 'rumali', 'fat', 'shawarma', 'mean', 'shawarma', 'mota', 'concern', 'lot', 'coriander', 'leave', 'give', 'instruction', 'taste', 'leave', 'kind', 'predominant', 'time', 'except', 'great', 'mayo', 'sauce', 'addition', 'great', 'get', 'packet', 'ketchup', 'well', 'totally', 'happy', 'shawarma', 'cost', 'effective', 'well']",buy food twice rumali shawarma kubbus shawarma good tasty like libby shawarma rumali also good libby well rumali fat shawarma mean shawarma mota concern lot coriander leave give instruction taste leave kind predominant time except great mayo sauce addition great get packet ketchup well totally happy shawarma cost effective well,0.05357883097946618,0.02033550269552992,0.9260856663250042
Triptify,"The food is good and the packing was nice too.
paranthas were stuffed nicely
curd was fresh and chutney too was nice.
A bit oily but as it's a parantha it can be overlooked.",1,"['food', 'good', 'packing', 'nice', 'paranthas', 'stuff', 'nicely', 'curd', 'fresh', 'chutney', 'nice', 'bit', 'oily', 'parantha', 'overlooked']",food good packing nice paranthas stuff nicely curd fresh chutney nice bit oily parantha overlooked,0.028296703296703297,0.022738927738927737,0.9489643689643689
Deli 9 Bistro,"Lovely place, mix and match seating to auit whom you are with. Prompt service, Real good pastas, Lovely stroganoff dishes. Menu is perfect to cater to any cuisine, a bakery for your sweet tooth. An all at one stop place. Try the citrus iced green tea if you prefer unconventional teas.",1,"['lovely', 'place', 'mix', 'match', 'seat', 'auit', 'prompt', 'service', 'real', 'good', 'pasta', 'lovely', 'stroganoff', 'dish', 'menu', 'perfect', 'cater', 'cuisine', 'bakery', 'sweet', 'tooth', 'one', 'stop', 'place', 'try', 'citrus', 'ice', 'green', 'tea', 'prefer', 'unconventional', 'tea']",lovely place mix match seat auit prompt service real good pasta lovely stroganoff dish menu perfect cater cuisine bakery sweet tooth one stop place try citrus ice green tea prefer unconventional tea,0.03361044337606838,0.004568420584045584,0.9618211360398861
Tempteys,"Tempteys is my favourite place for shakes.. Its a place which makes me little nostalgic as I have some very happy moments attached with this place. Just a glass of shake from Tempteys and it automatically lifts my mood. Every shake has its flavour. Sometimes its so hard for me to settle on one and I just wish I cud drink them all. Name any and its there.. Naughty nutella, FerreroRocher , kitkat shake, Oreo shake, Toblerone, choco brownie, berry berry blast and what not.. The only word for this place is “Excellent” and it speaks all. :) The only thing I wish from this place is that they lessen the cost a bit .Its a bit on the higher side .",1,"['tempteys', 'favourite', 'place', 'shakes', 'place', 'make', 'little', 'nostalgic', 'happy', 'moment', 'attached', 'place', 'glass', 'shake', 'tempteys', 'automatically', 'lift', 'mood', 'every', 'shake', 'flavour', 'sometimes', 'hard', 'settle', 'one', 'wish', 'cud', 'drink', 'name', 'naughty', 'nutella', 'ferrerorocher', 'kitkat', 'shake', 'oreo', 'shake', 'toblerone', 'choco', 'brownie', 'berry', 'berry', 'blast', 'not', 'word', 'place', 'excellent', 'speaks', 'thing', 'wish', 'place', 'lessen', 'cost', 'bit', 'bit', 'high', 'side']",tempteys favourite place shakes place make little nostalgic happy moment attached place glass shake tempteys automatically lift mood every shake flavour sometimes hard settle one wish cud drink name naughty nutella ferrerorocher kitkat shake oreo shake toblerone choco brownie berry berry blast not word place excellent speaks thing wish place lessen cost bit bit high side,0.020977329353151716,0.03210878479029324,0.9469138858565549
Zega - Sheraton Hyderabad Hotel,"What an amazing ambience!

Good and cozy interiors. Nice view outside and the food? I can’t even begin to say how good it was.

The sticky rice pork balls? So tasty.

Arjun assisted me the entire time. He was so nice and attentive. He offers me other options if what I want is not available.

He makes awesome cocktails!

Thank you Zega",1,"['amazing', 'ambience', 'good', 'cozy', 'interior', 'nice', 'view', 'outside', 'food', 'cant', 'even', 'begin', 'say', 'good', 'sticky', 'rice', 'pork', 'ball', 'tasty', 'arjun', 'assist', 'entire', 'time', 'nice', 'attentive', 'offer', 'option', 'want', 'not', 'available', 'make', 'awesome', 'cocktail', 'thank', 'zega']",amazing ambience good cozy interior nice view outside food cant even begin say good sticky rice pork ball tasty arjun assist entire time nice attentive offer option want not available make awesome cocktail thank zega,0.01767732267732268,0.04523373451944881,0.9370889428032285
KFC,good as always,1,"['good', 'always']",good always,0.025,0.05,0.925
The Chocolate Room,Chocolate quality is very bad considering the high price. It tastes similar to an equivalent 30 rupees milkshake you get in cartons. I so lodge recommend this to anyone.,0,"['chocolate', 'quality', 'bad', 'consider', 'high', 'price', 'taste', 'similar', 'equivalent', 'rupee', 'milkshake', 'get', 'carton', 'lodge', 'recommend', 'anyone']",chocolate quality bad consider high price taste similar equivalent rupee milkshake get carton lodge recommend anyone,0.06722730972730973,0.015402421652421651,0.9173702686202686
Royal Spicy Restaurant,simply superb...,1,"['simply', 'superb']",simply superb,0.171875,0.046875,0.78125
Al Saba Restaurant,"Yet another Sunday evening.. It was quite late when I reached this place.. But it was not the time to shut down the restaurant as well.. It was shocking to see no one in the restaurant though..

Ambience was normal and there is nothing to hype about it.. The hotel is not kept clean.. Infact there was an insect in the plate that was given to my first and I had to change my plate eventually.. Service was pretty late considering the items that we ordered..

I ordered chicken majestic and egg biryani .. To be frank, the food was disastrous... U can't put the blame on the time i went as well because it was at 10 in the night.. The starter looked like gravy and tasted very and the briyani had no masala at all..

Starter : chicken majestic
Rice and biryanis : egg biryani

Ambience : 2
Food : 1
Service: 1
Value for money : 1

Bottomline : Not Again",0,"['yet', 'another', 'sunday', 'even', 'quite', 'late', 'reach', 'place', 'not', 'time', 'shut', 'restaurant', 'well', 'shock', 'see', 'no', 'one', 'restaurant', 'though', 'ambience', 'normal', 'nothing', 'hype', 'hotel', 'not', 'keep', 'clean', 'infact', 'insect', 'plate', 'give', 'first', 'change', 'plate', 'eventually', 'service', 'pretty', 'late', 'consider', 'item', 'order', 'order', 'chicken', 'majestic', 'egg', 'biryani', 'frank', 'food', 'disastrous', 'u', 'cant', 'put', 'blame', 'time', 'go', 'well', 'night', 'starter', 'look', 'like', 'gravy', 'taste', 'briyani', 'no', 'masala', 'starter', 'chicken', 'majestic', 'rice', 'biryani', 'egg', 'biryani', 'ambience', 'food', 'service', 'value', 'money', 'bottomline', 'not']",yet another sunday even quite late reach place not time shut restaurant well shock see no one restaurant though ambience normal nothing hype hotel not keep clean infact insect plate give first change plate eventually service pretty late consider item order order chicken majestic egg biryani frank food disastrous u cant put blame time go well night starter look like gravy taste briyani no masala starter chicken majestic rice biryani egg biryani ambience food service value money bottomline not,0.04023132024697234,0.05525110844829612,0.9045175713047318
Deli 9 Bistro,"Had a very disappointing experience here today. We had been eyeing this place since long and planned our brunch to be had here. Loved the place, it was spacious and the ambiance was really good. The first thing I ordered was coffee but they were not serving any hot beverages. Next wanted to try pizza as they serve in different shapes but that too was unavailable. Did not felt like ordering anything after this. Highly disappointed.",0,"['disappointing', 'experience', 'today', 'eye', 'place', 'since', 'long', 'plan', 'brunch', 'love', 'place', 'spacious', 'ambiance', 'really', 'good', 'first', 'thing', 'order', 'coffee', 'not', 'serve', 'hot', 'beverage', 'next', 'wanted', 'try', 'pizza', 'serve', 'different', 'shape', 'unavailable', 'not', 'felt', 'like', 'order', 'anything', 'highly', 'disappointed']",disappointing experience today eye place since long plan brunch love place spacious ambiance really good first thing order coffee not serve hot beverage next wanted try pizza serve different shape unavailable not felt like order anything highly disappointed,0.07165905268911694,0.05525434738829782,0.8730865999225853
Domino's Pizza,Worst experience at dominos. No air conditioner at the store is working (out of 5). It was too hot. No one cared about it. It took too long to get the tables cleaned.,0,"['bad', 'experience', 'domino', 'no', 'air', 'conditioner', 'store', 'work', 'hot', 'no', 'one', 'care', 'take', 'long', 'get', 'table', 'clean']",bad experience domino no air conditioner store work hot no one care take long get table clean,0.029258877696377698,0.023346719831094834,0.9473944024725274
"3B's - Buddies, Bar & Barbecue","The Place is really good in First Floor.

Food: The food quality is very good. Starters Veg or Non-veg are very good with variety! Main course has limited items but its very tasty as well. Dessert are the key item's to try.

Service: Service & staff is really helpful and care taking.

Ambiance: Good place with awesome music and lighting..❤️

Value For Money: Yes compared to other buffet restaurant, it is very reasonable and good.

Overall had a awesome experience 😍✌️",1,"['place', 'really', 'good', 'first', 'floor', 'food', 'food', 'quality', 'good', 'starter', 'veg', 'nonveg', 'good', 'variety', 'main', 'course', 'limited', 'item', 'tasty', 'well', 'dessert', 'key', 'item', 'try', 'service', 'service', 'staff', 'really', 'helpful', 'care', 'take', 'ambiance', 'good', 'place', 'awesome', 'music', 'light', 'redheart', 'value', 'money', 'yes', 'compare', 'buffet', 'restaurant', 'reasonable', 'good', 'overall', 'awesome', 'experience', 'smilingfacewithhearteyes', 'victoryhand']",place really good first floor food food quality good starter veg nonveg good variety main course limited item tasty well dessert key item try service service staff really helpful care take ambiance good place awesome music light redheart value money yes compare buffet restaurant reasonable good overall awesome experience smilingfacewithhearteyes victoryhand,0.07638690024339695,0.0302903414050618,0.8933227583515414
Zing's Northeast Kitchen,"One of the very few places that I tried North eastern food. The place has a cosy setup with interiors and cutlery that totally go with the theme of the place.

We ordered a teriyaki chicken bowl, Ramyan noodles, bruschetta and Doenjang Jjigae. We absolutely loved the Jjigae, which is similar to a vegetable stew and absolutely rich with flavours. The teriyaki bowl and noodles were definitely above average. They served the teriyaki bowl with sautéed spinach on the sides, perhaps more vegetables would have been better. All in all a great experience!",1,"['one', 'place', 'try', 'north', 'eastern', 'food', 'place', 'cosy', 'setup', 'interior', 'cutlery', 'totally', 'go', 'theme', 'place', 'order', 'teriyaki', 'chicken', 'bowl', 'ramyan', 'noodle', 'bruschetta', 'doenjang', 'jjigae', 'absolutely', 'love', 'jjigae', 'similar', 'vegetable', 'stew', 'absolutely', 'rich', 'flavour', 'teriyaki', 'bowl', 'noodle', 'definitely', 'average', 'serve', 'teriyaki', 'bowl', 'saute', 'spinach', 'side', 'perhaps', 'vegetable', 'would', 'well', 'great', 'experience']",one place try north eastern food place cosy setup interior cutlery totally go theme place order teriyaki chicken bowl ramyan noodle bruschetta doenjang jjigae absolutely love jjigae similar vegetable stew absolutely rich flavour teriyaki bowl noodle definitely average serve teriyaki bowl saute spinach side perhaps vegetable would well great experience,0.06867764930372196,0.018182455773631402,0.9131398949226468
Tandoori Food Works,"Second time I oouder for tandoori food works
First time thay give me very oile food
Now I oouder tandoori chicken full
Tandoori chicken to much roasted
And green chutney spoiled price is very high and guality is very low you really desipointed me guys I never oouder there again",0,"['second', 'time', 'oouder', 'tandoori', 'food', 'work', 'first', 'time', 'thay', 'give', 'oile', 'food', 'oouder', 'tandoori', 'chicken', 'full', 'tandoori', 'chicken', 'much', 'roast', 'green', 'chutney', 'spoil', 'price', 'high', 'guality', 'low', 'really', 'desipointed', 'guy', 'never', 'oouder']",second time oouder tandoori food work first time thay give oile food oouder tandoori chicken full tandoori chicken much roast green chutney spoil price high guality low really desipointed guy never oouder,0.062345703538885355,0.04283134794498431,0.8948229485161303
NorFest - The Dhaba,"Authentic punjabi khana in the Gachibowli area. Their rajma chawal , dhaba chicken and thalis are very good. Their Pudina paratha and Amritsari kulcha are very yummy. Dal makhani is very heavy. The kheer is a must try in the deserts. The seating is limited as it’s in food court but service is fast. Even home delivery packing is very good.",1,"['authentic', 'punjabi', 'khana', 'gachibowli', 'area', 'rajma', 'chawal', 'dhaba', 'chicken', 'thalis', 'good', 'pudina', 'paratha', 'amritsari', 'kulcha', 'yummy', 'dal', 'makhani', 'heavy', 'kheer', 'must', 'try', 'desert', 'seat', 'limited', 'food', 'court', 'service', 'fast', 'even', 'home', 'delivery', 'packing', 'good']",authentic punjabi khana gachibowli area rajma chawal dhaba chicken thalis good pudina paratha amritsari kulcha yummy dal makhani heavy kheer must try desert seat limited food court service fast even home delivery packing good,0.04754273781773781,0.028497888222888224,0.9239593739593739
AB's - Absolute Barbecues,"Been to this place for the first time.
Absolutely loved the experience and service.
Would come back here again everytime I visit Hyderabad. A must try!",1,"['place', 'first', 'time', 'absolutely', 'love', 'experience', 'service', 'would', 'come', 'back', 'everytime', 'visit', 'hyderabad', 'must', 'try']",place first time absolutely love experience service would come back everytime visit hyderabad must try,0.10040759092098377,0.008557228981336124,0.89103518009768
